value,   feasible,   frequency, time, iteration
328,False,1,17714.07843375206,0
944,False,1,17714.07843375206,0
1868,False,1,17714.07843375206,0
1144,False,1,17714.07843375206,0
1560,False,1,17714.07843375206,0
1016,False,1,17714.07843375206,0
2088,False,1,17714.07843375206,0
300,False,1,17714.07843375206,0
1368,False,1,17714.07843375206,0
2084,False,1,17714.07843375206,0
1968,False,1,17714.07843375206,0
1148,False,1,17714.07843375206,0
128,False,1,17714.07843375206,0
676,False,1,17714.07843375206,0
1656,False,1,17714.07843375206,0
588,False,2,17714.07843375206,0
1984,False,1,17714.07843375206,0
488,False,1,17714.07843375206,0
2600,False,1,17714.07843375206,0
1160,False,1,17714.07843375206,0
1228,False,1,17714.07843375206,0
1328,False,1,17714.07843375206,0
876,False,1,17714.07843375206,0
2400,False,1,17714.07843375206,0
904,False,1,17714.07843375206,0
1720,False,1,17714.07843375206,0
2044,False,1,17714.07843375206,0
3088,False,1,17714.07843375206,0
3764,False,1,17714.07843375206,0
888,False,1,17714.07843375206,0
1784,False,1,17714.07843375206,0
1040,False,1,17714.07843375206,0
1664,False,1,17714.07843375206,0
1116,False,1,17714.07843375206,0
1856,False,1,17714.07843375206,0
1420,False,1,17714.07843375206,0
712,False,1,17714.07843375206,0
1748,False,1,17714.07843375206,0
1292,False,1,17714.07843375206,0
816,False,1,17714.07843375206,0
1672,False,1,17714.07843375206,0
1544,False,1,17714.07843375206,0
1988,False,1,17714.07843375206,0
1944,False,1,17714.07843375206,0
1076,False,1,17714.07843375206,0
1204,False,1,17714.07843375206,0
1792,False,1,17714.07843375206,0
2112,False,1,17714.07843375206,0
0,False,1,17714.07843375206,0
1752,False,1,17714.07843375206,0
616,False,1,17714.07843375206,0
428,False,1,17714.07843375206,0
200,False,1,17714.07843375206,0
1140,False,1,17714.07843375206,0
1608,False,1,17714.07843375206,0
952,False,1,17714.07843375206,0
1000,False,1,17714.07843375206,0
2556,False,1,17714.07843375206,0
2536,False,1,17714.07843375206,0
1508,False,1,17714.07843375206,0
1912,False,1,17714.07843375206,0
2200,False,1,17714.07843375206,0
2084,False,1,17714.07843375206,0
900,False,1,17714.07843375206,0
1088,False,1,17714.07843375206,0
1120,False,1,17714.07843375206,0
1176,False,1,17714.07843375206,0
588,False,1,17714.07843375206,0
1304,False,1,17714.07843375206,0
1152,False,1,17714.07843375206,0
2012,False,1,17714.07843375206,0
200,False,1,17714.07843375206,0
888,False,1,17714.07843375206,0
788,False,1,17714.07843375206,0
516,False,1,17714.07843375206,0
1404,False,1,17714.07843375206,0
1756,False,1,17714.07843375206,0
1896,False,1,17714.07843375206,0
2212,False,1,17714.07843375206,0
1744,False,1,17714.07843375206,0
2140,False,1,17714.07843375206,0
2108,False,1,17714.07843375206,0
2508,False,1,17714.07843375206,0
612,False,1,17714.07843375206,0
812,False,1,17714.07843375206,0
960,False,1,17714.07843375206,0
1160,False,1,17714.07843375206,0
1432,False,1,17714.07843375206,0
2268,False,1,17714.07843375206,0
1460,False,1,17714.07843375206,0
1416,False,1,17714.07843375206,0
1012,False,1,17714.07843375206,0
1188,False,1,17714.07843375206,0
1940,False,1,17714.07843375206,0
2224,False,1,17714.07843375206,0
984,False,1,17714.07843375206,0
2580,False,2,17714.07843375206,0
2740,False,1,17714.07843375206,0
1740,False,1,17714.07843375206,0
1964,False,1,17714.07843375206,0
1104,False,1,17714.07843375206,0
488,False,1,17714.07843375206,0
1876,False,1,17714.07843375206,0
1972,False,1,17714.07843375206,0
2440,False,1,17714.07843375206,0
1524,False,1,17714.07843375206,0
1488,False,1,17714.07843375206,0
1012,False,1,17714.07843375206,0
660,False,2,17714.07843375206,0
1076,False,1,17714.07843375206,0
1404,False,1,17714.07843375206,0
1916,False,1,17714.07843375206,0
2640,False,1,17714.07843375206,0
1640,False,1,17714.07843375206,0
1564,False,1,17714.07843375206,0
1340,False,1,17714.07843375206,0
3056,False,1,17714.07843375206,0
1632,False,1,17714.07843375206,0
2696,False,1,17714.07843375206,0
936,False,1,17714.07843375206,0
728,False,1,17714.07843375206,0
612,False,1,17714.07843375206,0
1740,False,1,17714.07843375206,0
1996,False,1,17714.07843375206,0
2840,False,1,17714.07843375206,0
2512,False,1,17714.07843375206,0
1500,False,1,17714.07843375206,0
860,False,1,17714.07843375206,0
1048,False,1,17714.07843375206,0
2716,False,1,17714.07843375206,0
3004,False,1,17714.07843375206,0
1648,False,1,17714.07843375206,0
1676,False,1,17714.07843375206,0
1504,False,1,17714.07843375206,0
1924,False,1,17714.07843375206,0
1716,False,1,17714.07843375206,0
1012,False,1,17714.07843375206,0
1516,False,1,17714.07843375206,0
784,False,1,17714.07843375206,0
2964,False,1,17714.07843375206,0
1304,False,1,17714.07843375206,0
1000,False,1,17714.07843375206,0
1000,False,1,17714.07843375206,0
2140,False,1,17714.07843375206,0
1632,False,1,17714.07843375206,0
584,False,1,17714.07843375206,0
2120,False,1,17714.07843375206,0
1448,False,1,17714.07843375206,0
2372,False,1,17714.07843375206,0
400,False,1,17714.07843375206,0
1428,False,1,17714.07843375206,0
3056,False,1,17714.07843375206,0
2104,False,1,17714.07843375206,0
2376,False,1,17714.07843375206,0
264,False,1,17714.07843375206,0
2804,False,1,17714.07843375206,0
1164,False,1,17714.07843375206,0
1844,False,1,17714.07843375206,0
1756,False,1,17714.07843375206,0
1328,False,1,17714.07843375206,0
1076,False,1,17714.07843375206,0
1104,False,1,17714.07843375206,0
1736,False,1,17714.07843375206,0
1796,False,1,17714.07843375206,0
2108,False,1,17714.07843375206,0
456,False,1,17714.07843375206,0
1612,False,1,17714.07843375206,0
1772,False,1,17714.07843375206,0
2220,False,1,17714.07843375206,0
416,False,1,17714.07843375206,0
2212,False,1,17714.07843375206,0
964,False,1,17714.07843375206,0
3364,False,1,17714.07843375206,0
2812,False,1,17714.07843375206,0
3276,False,1,17714.07843375206,0
2508,False,1,17714.07843375206,0
1140,False,1,17714.07843375206,0
1380,False,1,17714.07843375206,0
1896,False,1,17714.07843375206,0
3612,False,1,17714.07843375206,0
1820,False,1,17714.07843375206,0
1772,False,1,17714.07843375206,0
2096,False,1,17714.07843375206,0
872,False,1,17714.07843375206,0
2292,False,1,17714.07843375206,0
1196,False,1,17714.07843375206,0
800,False,1,17714.07843375206,0
656,False,1,17714.07843375206,0
3860,False,1,17714.07843375206,0
1936,False,1,17714.07843375206,0
2780,False,1,17714.07843375206,0
2220,False,1,17714.07843375206,0
