value,   feasible,   frequency, time, iteration
0,False,8,2138.3450405597687,0
0,False,17,2138.3450405597687,0
0,False,4,2138.3450405597687,0
0,False,1,2138.3450405597687,0
7790,False,24,2138.3450405597687,0
1722,False,11,2138.3450405597687,0
0,False,19,2138.3450405597687,0
7790,False,3,2138.3450405597687,0
1722,False,14,2138.3450405597687,0
9512,False,3,2138.3450405597687,0
10640,False,4,2138.3450405597687,0
18430,False,23,2138.3450405597687,0
13346,True,5,2138.3450405597687,0
21136,False,17,2138.3450405597687,0
11780,False,1,2138.3450405597687,0
19570,False,36,2138.3450405597687,0
14486,False,27,2138.3450405597687,0
22276,False,13,2138.3450405597687,0
984,False,8,2138.3450405597687,0
2352,False,49,2138.3450405597687,0
11126,True,39,2138.3450405597687,0
4074,False,3,2138.3450405597687,0
12848,False,32,2138.3450405597687,0
2604,False,5,2138.3450405597687,0
11378,False,6,2138.3450405597687,0
4326,False,23,2138.3450405597687,0
13100,False,6,2138.3450405597687,0
12992,False,35,2138.3450405597687,0
21766,False,19,2138.3450405597687,0
15698,False,22,2138.3450405597687,0
24472,False,9,2138.3450405597687,0
14384,False,26,2138.3450405597687,0
23158,False,9,2138.3450405597687,0
17090,False,7,2138.3450405597687,0
25864,False,7,2138.3450405597687,0
0,False,1,2138.3450405597687,0
0,False,3,2138.3450405597687,0
8930,False,8,2138.3450405597687,0
1974,False,1,2138.3450405597687,0
10904,False,32,2138.3450405597687,0
0,False,2,2138.3450405597687,0
8930,False,1,2138.3450405597687,0
1974,False,22,2138.3450405597687,0
10904,False,28,2138.3450405597687,0
10640,False,36,2138.3450405597687,0
19570,False,2,2138.3450405597687,0
13598,False,17,2138.3450405597687,0
22528,False,4,2138.3450405597687,0
11780,False,4,2138.3450405597687,0
20710,False,15,2138.3450405597687,0
14738,False,5,2138.3450405597687,0
23668,False,12,2138.3450405597687,0
984,False,23,2138.3450405597687,0
2352,False,34,2138.3450405597687,0
12266,False,39,2138.3450405597687,0
4326,False,63,2138.3450405597687,0
14240,False,11,2138.3450405597687,0
2604,False,2,2138.3450405597687,0
12518,False,11,2138.3450405597687,0
4578,False,5,2138.3450405597687,0
14492,False,31,2138.3450405597687,0
22906,False,6,2138.3450405597687,0
15950,False,3,2138.3450405597687,0
25864,False,39,2138.3450405597687,0
14384,False,40,2138.3450405597687,0
24298,False,6,2138.3450405597687,0
17342,False,34,2138.3450405597687,0
27256,False,26,2138.3450405597687,0
